odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
11576.0,2015.0,16275.542699724518,134003776.0,23325640.0,188405682.29201102,4060225.0,32795218.539944902,264893290.17055604,1551227710976.0,270017608640.0,2180984178212.3196,47001164600.0,379637449818.40216,3066404727014.357,8181353375.0,66082365357.988976,533759979693.6704,4311282055041.402
3734.0,2018.0,16275.542699724518,13942756.0,7535212.0,60772876.44077135,4072324.0,32844045.168044075,264893290.17055604,52062250904.0,28136481608.0,226925920629.8402,15206057816.0,122639664657.47658,989111545496.8562,8217949832.0,66279283149.112946,534554659564.18207,4311282055041.402
24420.0,2020.0,18997.989561586637,596336400.0,49328400.0,463930905.0939457,4080400.0,38375938.91440501,360923607.3821548,14562534888000.0,1204599528000.0,11329192702394.154,99643368000.0,937140428289.7704,8813754492272.22,8242408000.0,77519396607.09811,729065686911.9528,6856822925576.371
21697.0,2019.0,20221.40350877193,470759809.0,43806243.0,438743791.9298246,4076361.0,40827013.68421053,408905159.8645738,10214075575873.0,950464054371.0,9519424053501.404,88444804617.0,885823715906.3159,8872015253581.658,8230172859.0,82429740628.42107,825579517766.5745,8268636234440.439
80065.0,2003.0,12530.001731601731,6410404225.0,160370195.0,1003214588.6406926,4012009.0,25097593.468398266,157000943.3939424,513249014274625.0,12840039662675.0,80322376039517.05,321221500585.0,2009438821047.3071,12570280532835.998,8036054027.0,50270479717.20173,314472889618.0666,1967222092589.2034
120220.0,2012.0,18771.65240378704,14452848400.0,241882640.0,2256728051.983278,4048144.0,37768564.63641953,352374933.9686038,1737521434648000.0,29079130980800.0,271303846409429.66,486667871680.0,4540536840590.355,42362514561705.55,8144865728.0,75990352048.47609,708978367144.8308,6614659776266.041
10082.0,2019.0,20544.100628930817,101646724.0,20355558.0,207125622.5408805,4076361.0,41478539.16981132,422060070.6516356,1024802271368.0,205224735756.0,2088240526457.1572,41097871602.0,418186631910.0378,4255209632309.79,8230172859.0,83745170583.84906,852139282645.6522,8670844562920.852
34415.0,2018.0,13234.48772763262,1184392225.0,69449470.0,455464895.1464766,4072324.0,26707196.23436263,175151665.41285846,40760858423375.0,2390103510050.0,15674824366465.992,140149030460.0,919128158405.5898,6027844565183.523,8217949832.0,53895122000.94379,353456060803.1484,2318042566380.89
125276.0,2007.0,13234.48772763262,15694076176.0,251428932.0,1657963684.566904,4028049.0,26561616.86935867,175151665.41285846,1966091087024576.0,31498010885232.0,207703058547803.47,504617866524.0,3327533114925.777,21942300036261.258,8084294343.0,53309165056.80285,351529392483.60693,2318042566380.89
121615.0,2015.0,18997.989561586637,14790208225.0,245054225.0,2310440500.5323586,4060225.0,38280948.96659707,360923607.3821548,1798711173283375.0,29802269573375.0,280984221472242.78,493784263375.0,4655537608572.703,43893724511780.76,8181353375.0,77136112167.6931,727261068875.042,6856822925576.371
